Regression : FALSE
Max L : 296

TRAIN,DaeHanTwo,HyunTae,JaeIn,JinWoo,NaYoung,SongHa,SongHaTwo,TeaGyeong,TeaGyeongTwo,
TEST,DaeHan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,예상,실제,성공/실패
358.699188,354.672485,0.866679,0.649547,354.105011,0.859976,352.555206,1.851420,80.066528,345.663910,8.978135,87.163261,353.926300,344.980194,283.299713,348.805298,340.982086,276.773895,3.840546,354.750397,355.040314,3.840546,354.750397,355.040314,1.389437,346.394196,359.532806,2.503554,354.805603,5.634375,2.503554,354.805603,5.634375,0.927331,348.558594,0.332358,2.788222,354.119507,0.793000,0,0,TRUE
358.694397,354.671295,0.820779,0.626311,354.027191,0.811493,352.502808,1.820200,80.112129,345.592102,8.964126,87.228142,353.938995,344.912689,283.253296,348.816589,340.918091,276.753113,3.889038,354.745789,354.996094,3.889038,354.745789,354.996094,1.395973,346.325195,359.478394,2.543165,354.804413,5.573172,2.543165,354.804413,5.573172,0.948053,348.552704,0.266951,2.776637,354.040802,0.747502,0,0,TRUE
358.697693,354.672394,0.770328,0.610673,353.957794,0.753503,352.465698,1.781630,80.131363,345.528900,8.953620,87.268478,353.948212,344.854004,283.197601,348.827911,340.863586,276.730408,3.930171,354.742889,354.956299,3.930171,354.742889,354.956299,1.401004,346.257385,359.429413,2.572126,354.805206,5.519217,2.572126,354.805206,5.519217,0.968854,348.556213,0.210287,2.770412,353.970398,0.690709,0,0,TRUE
358.705902,354.675293,0.719689,0.602826,353.904999,0.685713,352.447113,1.741493,80.125130,345.480591,8.947290,87.290733,353.954712,344.813690,283.136688,348.825012,340.810394,276.711395,3.963687,354.741394,354.922913,3.963687,354.741394,354.922913,1.405137,346.212311,359.388885,2.591375,354.807312,5.476070,2.591375,354.807312,5.476070,0.990532,348.538300,0.164148,2.769731,353.916290,0.618529,0,0,TRUE
358.716705,354.679413,0.671046,0.599851,353.860199,0.615058,352.433594,1.705029,80.111183,345.445892,8.936467,87.301788,353.957397,344.777588,283.080292,348.818512,340.762787,276.689697,3.990962,354.741211,354.895111,3.990962,354.741211,354.895111,1.407727,346.155396,359.354187,2.603251,354.810608,5.441360,2.603251,354.810608,5.441360,1.011505,348.605408,0.131806,2.772726,353.870087,0.540876,0,0,TRUE
358.716705,354.679413,0.671046,0.599851,353.860199,0.615058,352.433594,1.705029,80.111183,345.445892,8.936467,87.301788,353.957397,344.777588,283.080292,348.818512,340.762787,276.689697,3.990962,354.741211,354.895111,3.990962,354.741211,354.895111,1.407727,346.155396,359.354187,2.603251,354.810608,5.441360,2.603251,354.810608,5.441360,1.011505,348.605408,0.131806,2.772726,353.870087,0.540876,0,0,TRUE
358.730011,354.684204,0.624843,0.602345,353.824402,0.544320,352.426514,1.671816,80.089920,345.422394,8.924397,87.303818,353.959686,344.751312,283.027008,348.795685,340.705994,276.671814,4.013052,354.741913,354.872406,4.013052,354.741913,354.872406,1.410244,346.107605,359.325714,2.606960,354.814392,5.414767,2.606960,354.814392,5.414767,1.035001,348.626892,0.105849,2.779986,353.832794,0.462012,0,0,TRUE
358.742889,354.689209,0.582802,0.604513,353.795410,0.481430,352.425903,1.639131,80.060707,345.407898,8.910440,87.300880,353.953613,344.722290,282.976410,348.748291,340.630188,276.652100,4.032045,354.743103,354.852997,4.032045,354.743103,354.852997,1.412716,346.068298,359.301392,2.605411,354.818390,5.393321,2.605411,354.818390,5.393321,1.059328,348.638397,0.085007,2.785586,353.802490,0.393377,0,0,TRUE
358.742889,354.689209,0.582802,0.604513,353.795410,0.481430,352.425903,1.639131,80.060707,345.407898,8.910440,87.300880,353.953613,344.722290,282.976410,348.748291,340.630188,276.652100,4.032045,354.743103,354.852997,4.032045,354.743103,354.852997,1.412716,346.068298,359.301392,2.605411,354.818390,5.393321,2.605411,354.818390,5.393321,1.059328,348.638397,0.085007,2.785586,353.802490,0.393377,0,0,TRUE
358.755707,354.694794,0.544871,0.607187,353.772095,0.426694,352.430298,1.607196,80.024727,345.399689,8.895856,87.296333,353.945587,344.697510,282.926910,348.667694,340.526093,276.627502,4.049121,354.745209,354.837097,4.049121,354.745209,354.837097,1.415355,346.068115,359.282898,2.599455,354.822815,5.377137,2.599455,354.822815,5.377137,1.084831,348.645386,0.069583,2.790308,353.778015,0.335337,0,0,TRUE
358.767914,354.699890,0.510778,0.609887,353.753601,0.379173,352.437500,1.577819,79.985443,345.400696,8.876612,87.291283,353.933990,344.673615,282.880096,348.569489,340.409393,276.599396,4.061906,354.747192,354.825989,4.061906,354.747192,354.825989,1.420350,346.075287,359.270294,2.591553,354.826813,5.364555,2.591553,354.826813,5.364555,1.109699,348.636414,0.057089,2.794525,353.758606,0.286114,0,0,TRUE
358.767914,354.699890,0.510778,0.609887,353.753601,0.379173,352.437500,1.577819,79.985443,345.400696,8.876612,87.291283,353.933990,344.673615,282.880096,348.569489,340.409393,276.599396,4.061906,354.747192,354.825989,4.061906,354.747192,354.825989,1.420350,346.075287,359.270294,2.591553,354.826813,5.364555,2.591553,354.826813,5.364555,1.109699,348.636414,0.057089,2.794525,353.758606,0.286114,0,0,TRUE
358.779205,354.706909,0.480366,0.614306,353.738586,0.335496,352.446106,1.550851,79.944527,345.406006,8.856064,87.287247,353.919800,344.650299,282.835114,348.466705,340.292114,276.569489,4.074197,354.751312,354.817413,4.074197,354.751312,354.817413,1.423961,346.087311,359.260315,2.580397,354.832703,5.356021,2.580397,354.832703,5.356021,1.134700,348.628998,0.048964,2.800211,353.742615,0.239157,0,0,TRUE
358.789612,354.713715,0.453492,0.618634,353.727509,0.297660,352.456512,1.526469,79.904907,345.418213,8.833019,87.278801,353.903412,344.628296,282.793396,348.357788,340.173798,276.536407,4.085725,354.755615,354.810699,4.085725,354.755615,354.810699,1.427083,346.119385,359.253601,2.564450,354.838287,5.351483,2.564450,354.838287,5.351483,1.164178,348.584808,0.043325,2.805931,353.730804,0.198959,0,0,TRUE
358.789612,354.713715,0.453492,0.618634,353.727509,0.297660,352.456512,1.526469,79.904907,345.418213,8.833019,87.278801,353.903412,344.628296,282.793396,348.357788,340.173798,276.536407,4.085725,354.755615,354.810699,4.085725,354.755615,354.810699,1.427083,346.119385,359.253601,2.564450,354.838287,5.351483,2.564450,354.838287,5.351483,1.164178,348.584808,0.043325,2.805931,353.730804,0.198959,0,0,TRUE
358.800415,354.720001,0.428474,0.624573,353.720093,0.263530,352.469696,1.502849,79.864647,345.431610,8.812568,87.268784,353.877289,344.598389,282.753204,348.257996,340.070709,276.498596,4.096913,354.759705,354.804504,4.096913,354.759705,354.804504,1.427720,346.149414,359.247192,2.548728,354.843597,5.348265,2.548728,354.843597,5.348265,1.190538,348.544891,0.039261,2.813119,353.722687,0.163786,0,0,TRUE
358.810486,354.728790,0.405958,0.630484,353.713989,0.233433,352.482697,1.480947,79.824921,345.451385,8.787261,87.254517,353.848114,344.566193,282.713989,348.172485,339.985687,276.458496,4.108114,354.766388,354.799591,4.108114,354.766388,354.799591,1.427977,346.179688,359.241913,2.531391,354.851196,5.347064,2.531391,354.851196,5.347064,1.215142,348.538513,0.039089,2.819603,353.715912,0.133500,0,0,TRUE
358.810486,354.728790,0.405958,0.630484,353.713989,0.233433,352.482697,1.480947,79.824921,345.451385,8.787261,87.254517,353.848114,344.566193,282.713989,348.172485,339.985687,276.458496,4.108114,354.766388,354.799591,4.108114,354.766388,354.799591,1.427977,346.179688,359.241913,2.531391,354.851196,5.347064,2.531391,354.851196,5.347064,1.215142,348.538513,0.039089,2.819603,353.715912,0.133500,0,0,TRUE
